Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100p,C_0603_1608Metric,113.265,-88.13,0.0,top
C2,100n,C_0603_1608Metric,106.2,-72.3,180.0,top
C3,330p,C_0603_1608Metric,110.01,-83.61,180.0,top
C4,100n,C_0603_1608Metric,113.25,-86.39,0.0,top
C5,330p,C_0603_1608Metric,123.64,-80.37,180.0,top
C6,22u,C_0805_2012Metric,139.025,-81.8,0.0,top
C7,100p,C_0603_1608Metric,123.4,-86.045,90.0,top
C8,100n,C_0603_1608Metric,138.825,-79.8,0.0,top
C9,330p,C_0603_1608Metric,116.33,-83.375,-90.0,top
C10,100n,C_0603_1608Metric,121.7,-86.045,90.0,top
C11,100p,C_0603_1608Metric,138.825,-78.1,0.0,top
C13,22u,CP_EIA-7343-43_Kemet-X,147.1,-79.9,180.0,top
C14,100n,C_0603_1608Metric,156.0,-80.5,-90.0,top
C16,100p,C_0603_1608Metric,153.8,-80.5,-90.0,top
C17,100n,C_0603_1608Metric,143.88,-87.84,0.0,top
C18,100n,C_0603_1608Metric,168.2,-77.675,90.0,top
C21,1u,C_0603_1608Metric,112.88,-90.27,180.0,top
C22,2.2u,C_0603_1608Metric,136.0,-92.0,-90.0,top
C23,2.2u 50V,C_0805_2012Metric,134.31,-107.22,180.0,top
C24,100n,C_0603_1608Metric,116.28,-108.96,180.0,top
C25,100n,C_0603_1608Metric,126.3,-100.0,0.0,top
C26,1u 50V,C_0603_1608Metric,123.7,-92.3,-90.0,top
C27,100n,C_0603_1608Metric,134.1,-109.07,180.0,top
C28,100n,C_0603_1608Metric,137.9,-92.1,-90.0,top
C29,100n,C_0603_1608Metric,147.61,-106.97,-90.0,top
C30,100n,C_0603_1608Metric,147.39,-93.25,-90.0,top
C31,22u,C_0805_2012Metric,145.61,-107.02,-90.0,top
C35,1n,C_0603_1608Metric,167.32,-108.23,0.0,top
C36,1n,C_0603_1608Metric,167.42,-104.29,180.0,top
C37,1u,C_0603_1608Metric,125.8,-122.1,180.0,top
C38,100n,C_0603_1608Metric,136.2,-120.875,-90.0,top
C39,100n,C_0603_1608Metric,115.1,-131.09,90.0,top
C40,1u,C_0603_1608Metric,122.75,-138.8525,180.0,top
C41,10u,C_0603_1608Metric,134.5,-120.875,-90.0,top
C42,100n,C_0603_1608Metric,133.8,-114.35,0.0,top
C43,1n,C_0603_1608Metric,133.925,-127.965,0.0,top
C44,1u,C_0603_1608Metric,122.775,-137.2525,180.0,top
C45,100n,C_0603_1608Metric,125.8,-123.7,180.0,top
C46,100n,C_0603_1608Metric,142.3,-120.8,-90.0,top
C47,1n,C_0603_1608Metric,161.55,-124.99,180.0,top
C48,100n,C_0603_1608Metric,141.825,-128.465,180.0,top
C49,10u,C_0603_1608Metric,143.9,-120.8,-90.0,top
C50,1n,C_0603_1608Metric,145.6,-128.065,180.0,top
C51,1n,C_0603_1608Metric,161.51,-128.91,0.0,top
C52,1u,C_0603_1608Metric,131.45,-143.1775,180.0,top
C53,4n7,C_0603_1608Metric,115.6,-142.56,180.0,top
C54,100n,C_0603_1608Metric,122.75,-140.4525,180.0,top
C55,10n,C_0603_1608Metric,172.125,-143.9,180.0,top
C56,10n,C_0603_1608Metric,184.48,-143.86,0.0,top
C57,1u,C_0603_1608Metric,165.58,-147.08,0.0,top
C58,100n,C_0603_1608Metric,165.57,-145.51,0.0,top
C59,100p,C_0603_1608Metric,165.59,-143.92,0.0,top
C60,10n,C_0603_1608Metric,172.14,-145.49,180.0,top
C64,330p,C_0603_1608Metric,118.81,-77.47,180.0,top
D1,SP0503BAHT,SOT-143,112.58,-111.66,180.0,top
D2,LRB751S,D_SOD-523,162.73,-105.58,29.0,top
D3,LRB751S,D_SOD-523,163.408734,-106.804468,-151.0,top
D4,MBR0540,D_SOD-123,114.28,-117.26,180.0,top
D5,SP0503BAHT,SOT-143,112.48,-129.96,180.0,top
D6,1SS400,D_SOD-523,134.025,-133.265,180.0,top
D7,MBR0540,D_SOD-123,131.1,-120.5,180.0,top
D8,SP0503BAHT,SOT-143,118.52,-139.19,-90.0,top
D9,MBR0540,D_SOD-123,127.83,-138.93,-90.0,top
D10,1SS400,D_SOD-523,145.725,-133.465,0.0,top
D11,LRB751S,D_SOD-523,166.028734,-125.514468,-151.0,top
D12,LRB751S,D_SOD-523,165.35,-124.29,29.0,top
D13,MHS171UBCT,MHS171,113.79,-149.02,180.0,top
D14,SK6812,SK6812SIDE-A-RVS,132.45,-148.86,0.0,top
D15,SK6812,SK6812SIDE-A-RVS,138.85,-148.89,0.0,top
D16,MHS171CRCT,MHS171,184.5425,-148.98,180.0,top
D17,1SS400,D_SOD-523,178.575,-142.05,0.0,top
F1,1A,Fuse_1206_3216Metric,144.17,-84.57,180.0,top
F2,150mA,Fuse_0805_2012Metric,112.8275,-133.77,180.0,top
F3,150mA,Fuse_0805_2012Metric,112.82,-136.12,180.0,top
F4,150mA,Fuse_0805_2012Metric,112.8425,-138.48,180.0,top
J1,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,102.2,-85.0,-90.0,top
J3,Conn_01x05,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,105.13,-112.27,-90.0,top
J5,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,197.85,-108.0,90.0,top
J6,Conn_01x06,JST_PH_S6B-PH-SM4-TB_1x06-1MP_P2.00mm_Horizontal,105.05,-130.15,-90.0,top
J7,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,197.85,-132.0,90.0,top
J8,Conn_Coaxial,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,197.85,-120.0,90.0,top
J9,USB_B_Micro,USB_Micro-B_Molex-105017-0001,123.49,-146.37,0.0,top
K1,G6E,Relay_SPDT_Omron_G6E,179.3,-135.7,90.0,top
L1,1u,L_0805_2012Metric,116.1,-87.0825,90.0,top
L2,1u,L_0805_2012Metric,122.67,-83.47,0.0,top
L4,200nH,L_1812_4532Metric,165.3,-77.1,90.0,top
L5,4.7uH,L_7.3x7.3_H3.5,140.0725,-109.295,-90.0,top
L8,1.5u,L_0805_2012Metric,167.28,-106.16,0.0,top
L9,L_Ferrite,L_0603_1608Metric,128.9,-123.7,180.0,top
L10,1.5u,L_0805_2012Metric,161.48,-126.82,0.0,top
L11,1u,L_0805_2012Metric,172.025,-142.2,0.0,top
L12,1u,L_0805_2012Metric,165.64,-142.23,0.0,top
L13,1u,L_0805_2012Metric,184.475,-142.15,180.0,top
Q1,AOD4185,TO-252-2,193.475,-79.075,0.0,top
Q2,BC848W,SOT-323_SC-70,178.28,-144.68,180.0,top
R1,4k7,R_0603_1608Metric,106.2,-78.0,0.0,top
R2,18R,R_0603_1608Metric,106.55,-85.15,180.0,top
R3,300R,R_0603_1608Metric,107.05,-87.56,-90.0,top
R4,300R,R_0603_1608Metric,105.61,-82.83,90.0,top
R5,4k7,R_0603_1608Metric,106.2,-76.1,0.0,top
R6,4k7,R_0603_1608Metric,106.2,-74.2,0.0,top
R7,10R,R_0603_1608Metric,147.12,-87.82,180.0,top
R8,10R,R_0603_1608Metric,140.49,-87.82,0.0,top
R9,10m,R_2816_7142Metric,165.69,-84.71,-90.0,top
R10,10k,R_0603_1608Metric,112.88,-92.34,180.0,top
R11,10k,R_0603_1608Metric,115.28,-98.15,180.0,top
R12,1k2,R_0603_1608Metric,131.9,-92.0,-90.0,top
R13,470R,R_0603_1608Metric,130.1,-94.9,180.0,top
R14,1k,R_0603_1608Metric,133.1,-96.9,0.0,top
R15,10k,R_0603_1608Metric,125.4,-92.3,90.0,top
R16,4k7,R_0603_1608Metric,116.28,-110.66,180.0,top
R17,22.1k,R_0603_1608Metric,130.555,-107.41,0.0,top
R18,4k7,R_0603_1608Metric,116.27,-112.33,180.0,top
R19,10k,R_0603_1608Metric,133.1,-98.4,0.0,top
R20,162k,R_0603_1608Metric,130.56,-109.0,0.0,top
R21,47k,R_0603_1608Metric,133.8,-92.1,90.0,top
R22,150R,R_0603_1608Metric,171.37,-121.2,-151.0,top
R23,150R,R_0603_1608Metric,172.11908,-122.499809,-151.0,top
R24,4k7,R_0603_1608Metric,111.99,-125.92,-90.0,top
R25,4k7,R_0603_1608Metric,113.9,-125.95,-90.0,top
R26,10k,R_0603_1608Metric,133.925,-126.165,0.0,top
R27,10k,R_0603_1608Metric,137.725,-137.065,180.0,top
R28,4k7,R_0603_1608Metric,134.125,-131.565,0.0,top
R29,100k,R_0603_1608Metric,134.225,-136.765,180.0,top
R30,330R,R_0603_1608Metric,134.025,-129.865,180.0,top
R31,100k,R_0603_1608Metric,134.225,-134.965,180.0,top
R32,100k,R_0603_1608Metric,141.7,-137.1,180.0,top
R33,10k,R_0603_1608Metric,145.6,-137.1,180.0,top
R34,100k,R_0603_1608Metric,145.625,-135.165,0.0,top
R35,4k7,R_0603_1608Metric,145.625,-131.765,0.0,top
R36,10k,R_0603_1608Metric,145.625,-126.365,180.0,top
R37,330R,R_0603_1608Metric,145.625,-129.965,0.0,top
R38,150R,R_0603_1608Metric,156.89,-109.07,-151.0,top
R39,49.9R,R_0603_1608Metric,178.03,-125.73,-90.0,top
R40,150R,R_0603_1608Metric,157.617214,-110.38193,-151.0,top
R41,49.9k,R_0603_1608Metric,175.8,-125.7,-90.0,top
R42,1k,R_0603_1608Metric,113.68,-147.48,0.0,top
R43,1M,R_0603_1608Metric,115.6,-144.16,180.0,top
R44,1k,R_0603_1608Metric,145.42,-143.32,0.0,top
R45,4k7,R_0603_1608Metric,172.14,-147.08,180.0,top
R46,10k,R_0603_1608Metric,184.465,-145.43,0.0,top
R47,10k,R_0603_1608Metric,178.3,-147.25,0.0,top
R48,300R,R_0603_1608Metric,118.04,-83.58,-90.0,top
R49,18R,R_0603_1608Metric,118.05,-80.44,-90.0,top
R50,300R,R_0603_1608Metric,116.39,-78.295,-90.0,top
SW1,SW_Push,Panasonic_EVQPUK_EVQPUB,159.67,-148.066321,180.0,top
U1,PSA4-5043+,MM1362 PSA4-5043+,113.67,-83.27,180.0,top
U2,LM75B,SOIC-8_3.9x4.9mm_P1.27mm,110.7,-75.1,90.0,top
U3,PSA4-5043+,MM1362 PSA4-5043+,120.54,-79.72,180.0,top
U5,74LV1T34,SOT-353_SC-70-5,113.36,-100.45,0.0,top
U6,LMR51420,SOT-23-6,133.7975,-111.78,180.0,top
U7,MCP4725,SOT-23-6,125.9,-97.5,0.0,top
