"Source:","C:\Users\GarethBlades\OneDrive - Eseye\Documents\GitHub\pi-transceiver\electronics\PSU Board\pi-tranceiver-psu\pi-tranceiver-psu.kicad_sch"
"Date:","21/01/2022 14:59:37"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"","","C1","220nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C2","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C3","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C4","1nF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","",""
"","","C5","330uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","C6","10nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C7","100nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C8","10nF","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","","","",""
"","","C9","330uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","C10","100uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","C11","100uF","SamacSys_Parts:865080545012","CAPAE660X770N","http://katalog.we-online.de/pbs/datasheet/865080545012.pdf","Wurth Elektronik 100uF 35 V dc Aluminium Electrolytic Capacitor, WCAP-ASLI Series 2000h 6.3 (Dia.) x 7.55mm","7.7","Wurth Elektronik","865080545012","710-865080545012","https://www.mouser.co.uk/ProductDetail/Wurth-Elektronik/865080545012?qs=0KOYDY2FL297tvB6LOdg5A%3D%3D"
"","","D1","15V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D2","9.1V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D3","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D4","D_Schottky","Device:D_Schottky","","~","","","","","",""
"","","D5","4.3V","Device:D_Zener","Diode_SMD:D_0805_2012Metric","~","","","","","",""
"","","D6","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D7","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D8","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D9","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","D10","1N4001","Diode:1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","",""
"","","IC1","LTC4368IMS-2#PBF","SamacSys_Parts:LTC4368IMS-2#PBF","SOP50P490X110-10N","https://www.arrow.com/en/products/ltc4368ims-2pbf/analog-devices","Surge Suppressors 100V OV, UV, OC and Reverse Supply Protection Controller with -3mV Reverse Threshold","1.1","Analog Devices","LTC4368IMS-2#PBF","584-LTC4368IMS2PBF","https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4368IMS-2PBF?qs=5aG0NVq1C4yQGBsRaTKLEg%3D%3D"
"","","IC2","LM2679S-ADJ_NOPB","PSU_Board:LM2679S-ADJ_NOPB","PSU_Board:TO127P1435X464-8N","http://www.ti.com/lit/ds/symlink/lm2679.pdf","SIMPLE SWITCHER 8V to 40V, 5A Step-Down DC/DC Switching Regulator with Adjustable Current Limit","4.64","Texas Instruments","LM2679S-ADJ/NOPB","926-LM2679S-ADJ/NOPB","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM2679S-ADJ-NOPB?qs=X1J7HmVL2ZGdZbHD%252BPn1rg%3D%3D"
"","","J1","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J2","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
"","","J3","Wago PCB 2 Pole","Connector:Screw_Terminal_01x02","","~","","","","","",""
