Comment,Designator,Footprint,LCSC
100n,"C409,C411,C420",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C111492
SMP1330-005LF,D401,SOT-23,C150870
AMS1117-3.3,U405,SOT-223-3_TabPin2,C5199435
PSA4-5043,U408,SOT-89-3,C5240848
100p,"C405,C406,C407,C408",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C62768
1n0,"C401,C402,C403,C404,C410,C412,C413,C414,C415,C416,C419,C421,C422,C423,C424",C_0805_2012Metric,C62774
AS179-92LF,"U401,U402,U404,U407,U409",SOT-363_SC-70-6,C83422
PCF8574A,U406,SOIC-16W_7.5x10.3mm_P1.27mm,C86832
AMS1117-5.0,U403,SOT-223-3_TabPin2,C917153
L_Trim,L401,L_Radial_L10.2mm_W10.2mm_Px7.62mm_Py7.62mm_Pulse_LP-30,
54n6,L403,Pipe22,
5-22pF,C439,TrimCap,
5-22pF,C429,TrimCap,
54n6,L406,Pipe22,
5-22pF,C444,TrimCap,
Conn_01x06_Male,J404,PinHeader_1x06_P2.54mm_Vertical,
54n6,L405,Pipe22,
54n6,L404,Pipe22,
5-22pF,C434,TrimCap,
Conn_01x01_Male,J405,Board outline 100_100,
R,R406,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R408,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
12p0,C442,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R403,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R411,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R414,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_Coaxial,J407,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,
0p9,C435,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_Coaxial,J401,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,
R,R409,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
8p2,C427,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_Coaxial,J403,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,
C,C418,C_0805_2012Metric,
R,R416,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R401,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22p0,C438,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R405,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R415,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R,R417,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
Conn_Coaxial,J406,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,
0p7,C431,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R402,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
L,L402,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,
R,R410,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
3p9,C446,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
15p,C425,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
15p0,C443,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
Conn_Coaxial,J402,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount,
R,R413,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
6p8,C445,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0p5,C441,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R404,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
6p8,C430,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R412,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
22p0,C433,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
12p0,C432,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
6p8,C426,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C,C417,C_0805_2012Metric,
18p,C428,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
0p5,C436,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
R,R407,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1p8,C440,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
12p0,C437,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
