Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C401,1n0,C_0805_2012Metric,107.15,-88.6,0.0,bottom
C402,1n0,C_0805_2012Metric,106.95,-105.0,270.0,bottom
C403,1n0,C_0805_2012Metric,116.9,-79.4,90.0,bottom
C404,1n0,C_0805_2012Metric,116.0,-88.05,90.0,bottom
C405,100p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,127.0,-91.8425,270.0,bottom
C406,100p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,123.0,-91.0,270.0,bottom
C407,100p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.0,-91.0,270.0,bottom
C408,100p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,144.0,-85.0,270.0,bottom
C409,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.9625,-70.0,90.0,bottom
C410,1n0,C_0805_2012Metric,191.0,-94.1,180.0,bottom
C411,100n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,121.81,-76.0,0.0,bottom
C412,1n0,C_0805_2012Metric,187.75,-89.7,180.0,bottom
C413,1n0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,191.0375,-77.0,0.0,bottom
C414,1n0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,183.0,-72.0,0.0,bottom
C415,1n0,C_0805_2012Metric,168.65,-72.1,0.0,bottom
C416,1n0,C_0805_2012Metric,174.0,-77.0,90.0,bottom
C417,C,C_0805_2012Metric,178.0,-78.0,180.0,bottom
C418,C,C_0805_2012Metric,163.45,-84.3,180.0,bottom
C419,1n0,C_0805_2012Metric,157.0,-83.0,180.0,bottom
C420,100n,C_0805_2012Metric,145.0,-80.0,270.0,bottom
C421,1n0,C_0805_2012Metric,151.25,-85.09,270.0,bottom
C422,1n0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.21,-92.0,0.0,bottom
C423,1n0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,156.1,-73.1375,90.0,bottom
C424,1n0,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,192.0625,-89.7,0.0,bottom
C425,15p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.0,-97.0,90.0,bottom
C426,6p8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.0,-107.1375,90.0,bottom
C427,8p2,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,114.0,-124.0,0.0,bottom
C428,18p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.7,-115.1625,90.0,bottom
C429,5-22pF,TrimCap,114.33,-106.75,0.0,top
C430,6p8,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,120.0,-126.1375,90.0,bottom
C431,0p7,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.0,-139.0,90.0,bottom
C432,12p0,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,118.0,-144.0,270.0,bottom
C433,22p0,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,112.0,-140.0,90.0,bottom
C434,5-22pF,TrimCap,114.56,-132.25,0.0,top
C435,0p9,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.0,-144.0,0.0,bottom
C436,0p5,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,151.0,-141.0,0.0,bottom
C437,12p0,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,184.0,-143.8625,270.0,bottom
C438,22p0,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,188.0,-140.0,90.0,bottom
C439,5-22pF,TrimCap,190.53,-132.71,0.0,top
